Country,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),2022PopDensity,2020PopDensity,2015PopDensity,2010PopDensity,2000PopDensity,1990PopDensity,1980PopDensity,1970PopDensity
Afghanistan,41128771,38972230,33753499,28189672,19542982,10694796,12486631,10752971,652230,63.05869249,59.75228064,51.75091455,43.22044677,29.96332889,16.39727703,19.1445211,16.48647103
Albania,2842321,2866849,2882481,2913399,3182021,3295066,2941651,2324731,28748,98.87021706,99.72342424,100.2671838,101.3426673,110.6866912,114.6189648,102.3254139,80.86583414
Algeria,44903225,43451666,39543154,35856344,30774621,25518074,18739378,13795915,2381741,18.85310997,18.24365706,16.60262556,15.05467807,12.92106111,10.71404237,7.867932743,5.792365753
American Samoa,44273,46189,51368,54849,58230,47818,32886,27075,199,222.4773869,232.1055276,258.1306533,275.6231156,292.6130653,240.2914573,165.2562814,136.0552764
Andorra,79824,77700,71746,71519,66097,53569,35611,19860,468,170.5641026,166.025641,153.3034188,152.8183761,141.232906,114.4636752,76.09188034,42.43589744
Angola,35588987,33428485,28127721,23364185,16394062,11828638,8330047,6029700,1246700,28.5465525,26.81357584,22.56173979,18.74082377,13.14996551,9.487958611,6.681677228,4.836528435
Anguilla,15857,15585,14525,13172,11047,8316,6560,6283,91,174.2527473,171.2637363,159.6153846,144.7472527,121.3956044,91.38461538,72.08791209,69.04395604
Antigua and Barbuda,93763,92664,89941,85695,75055,63328,64888,64516,442,212.1334842,209.6470588,203.4864253,193.8800905,169.8076923,143.2760181,146.8054299,145.9638009
Argentina,45510318,45036032,43257065,41100123,37070774,32637657,28024803,23842803,2780400,16.36826284,16.19768091,15.55785678,14.78208999,13.33289239,11.7384754,10.07941411,8.575313984
Armenia,2780469,2805608,2878595,2946293,3168523,3556539,3135123,2534377,29743,93.48313889,94.32834617,96.7822681,99.05836667,106.5300407,119.5756649,105.4070874,85.20919208
Aruba,106445,106585,104257,100341,89101,65712,62267,59106,180,591.3611111,592.1388889,579.2055556,557.45,495.0055556,365.0666667,345.9277778,328.3666667
Australia,26177413,25670051,23820236,22019168,19017963,17048003,14706322,12595034,7692024,3.4031892,3.337229707,3.096744888,2.862597413,2.472426373,2.216322128,1.911892371,1.637414808
Austria,8939617,8907777,8642421,8362829,8010428,7678729,7547561,7465301,83871,106.5877002,106.2080695,103.0442108,99.71061511,95.5089125,91.55404133,89.99011577,89.00932384
