Country,2022PopDensity,2020PopDensity,2015PopDensity,2010PopDensity,2000PopDensity,1990PopDensity,1980PopDensity,1970PopDensity
Afghanistan,63.05869249,59.75228064,51.75091455,43.22044677,29.96332889,16.39727703,19.1445211,16.48647103
Albania,98.87021706,99.72342424,100.2671838,101.3426673,110.6866912,114.6189648,102.3254139,80.86583414
Algeria,18.85310997,18.24365706,16.60262556,15.05467807,12.92106111,10.71404237,7.867932743,5.792365753
American Samoa,222.4773869,232.1055276,258.1306533,275.6231156,292.6130653,240.2914573,165.2562814,136.0552764
Andorra,170.5641026,166.025641,153.3034188,152.8183761,141.232906,114.4636752,76.09188034,42.43589744
Angola,28.5465525,26.81357584,22.56173979,18.74082377,13.14996551,9.487958611,6.681677228,4.836528435
Anguilla,174.2527473,171.2637363,159.6153846,144.7472527,121.3956044,91.38461538,72.08791209,69.04395604
Antigua and Barbuda,212.1334842,209.6470588,203.4864253,193.8800905,169.8076923,143.2760181,146.8054299,145.9638009
Argentina,16.36826284,16.19768091,15.55785678,14.78208999,13.33289239,11.7384754,10.07941411,8.575313984
Armenia,93.48313889,94.32834617,96.7822681,99.05836667,106.5300407,119.5756649,105.4070874,85.20919208
Aruba,591.3611111,592.1388889,579.2055556,557.45,495.0055556,365.0666667,345.9277778,328.3666667
Australia,3.4031892,3.337229707,3.096744888,2.862597413,2.472426373,2.216322128,1.911892371,1.637414808
Austria,106.5877002,106.2080695,103.0442108,99.71061511,95.5089125,91.55404133,89.99011577,89.00932384
Azerbaijan,119.6082448,118.7638684,113.8969977,106.6651501,94.57663972,85.77177829,73.7073903,62.64800231
Bahamas,29.40428889,29.1523345,28.16445528,26.77128308,23.31019149,19.41325396,16.04762246,12.84723517
Bahrain,1924.487582,1931.332026,1780.577778,1586.464052,929.9895425,676.3633987,473.9803922,290.9215686
Bangladesh,1160.035048,1134.518879,1069.526326,1005.564403,875.4714847,726.0801721,568.7454428,457.6937047
Barbados,654.9651163,652.7744186,646.7046512,638.8627907,615.4813953,602.0186047,589.7093023,561.3883721
Belarus,45.92945087,46.40529865,46.72740366,46.8758526,49.40502408,50.23374277,47.28929191,44.17526975
Belgium,381.8111242,378.7250066,368.4585626,356.3268802,336.2271685,326.2434486,321.9662605,315.427673
Belize,17.64660803,17.19589828,15.66972916,14.02534181,10.46790908,7.950404946,6.319472263,5.264521467
Benin,118.5635489,112.2615741,97.07502087,83.87091332,62.13726448,45.58096109,34.04254053,26.84593596
Bermuda,1188.592593,1185.759259,1169.333333,1174.944444,1136.5,1064.259259,991.9444444,963.3148148
Bhutan,20.37961661,20.12048758,19.35911861,18.3756837,15.29423868,14.54503308,10.81567432,7.78491431
Bolivia,11.12718134,10.86507231,10.0949179,9.305886412,7.821595312,6.459418104,5.22136101,4.174196532
