Year,Population,Country
2020,213196304,Brazil
2010,196353492,Brazil
2000,175873720,Brazil
1990,150706446,Brazil
1980,122288383,Brazil
1970,96369875,Brazil
2020,1424929781,China
2010,1348191368,China
2000,1264099069,China
1990,1153704252,China
1980,982372466,China
1970,822534450,China
2020,1396387127,India
2010,1240613620,India
2000,1059633675,India
1990,870452165,India
1980,696828385,India
1970,557501301,India
2020,271857970,Indonesia
2010,244016173,Indonesia
2000,214072421,Indonesia
1990,182159874,Indonesia
1980,148177096,Indonesia
1970,115228394,Indonesia
2020,208327405,Nigeria
2010,160952853,Nigeria
2000,122851984,Nigeria
1990,95214257,Nigeria
1980,72951439,Nigeria
1970,55569264,Nigeria
2020,227196741,Pakistan
2010,194454498,Pakistan
2000,154369924,Pakistan
1990,115414069,Pakistan
1980,80624057,Pakistan
1970,59290872,Pakistan
2020,335942003,United States
2010,311182845,United States
2000,282398554,United States
1990,248083732,United States
1980,223140018,United States
1970,200328340,United States
